header_hits=[(24, '서울 강남구'), (62, '광주 동구'), (63, '광주 서구'), (64, '광주 남구'), (65, '광주 북구'), (66, '광주 광산구'), (81, '경기도 광주시'), (169, '전남 목포시')]
col_donggu=광주 동구
강력범죄/살인기수 | 동구=0 광산=2 강남=3
강력범죄/살인미수등 | 동구=1 광산=2 강남=13
강력범죄/강도 | 동구=0 광산=7 강남=17
강력범죄/강간 | 동구=8 광산=39 강남=161
강력범죄/유사강간 | 동구=5 광산=12 강남=42
강력범죄/강제추행 | 동구=42 광산=98 강남=428
강력범죄/기타 강간/강제추행등 | 동구=0 광산=2 강남=4
강력범죄/방화 | 동구=1 광산=6 강남=9
절도범죄/절도범죄 | 동구=560 광산=1658 강남=2094
폭력범죄/상해 | 동구=57 광산=164 강남=246
폭력범죄/폭행 | 동구=407 광산=955 강남=1900
폭력범죄/체포/감금 | 동구=3 광산=13 강남=27
폭력범죄/협박 | 동구=44 광산=164 강남=348
폭력범죄/약취/유인 | 동구=0 광산=1 강남=8
폭력범죄/폭력행위등 | 동구=19 광산=49 강남=76
폭력범죄/공갈 | 동구=12 광산=49 강남=119
폭력범죄/손괴 | 동구=130 광산=416 강남=611
지능범죄/직무유기 | 동구=3 광산=5 강남=13
지능범죄/직권남용 | 동구=1 광산=10 강남=23
지능범죄/증수뢰 | 동구=0 광산=2 강남=12
지능범죄/통화 | 동구=2 광산=4 강남=14
지능범죄/문서/인장 | 동구=28 광산=111 강남=250
지능범죄/유가증권인지 | 동구=0 광산=0 강남=6
지능범죄/사기 | 동구=926 광산=3721 강남=10554
지능범죄/횡령 | 동구=234 광산=421 강남=1627
지능범죄/배임 | 동구=9 광산=25 강남=207
풍속범죄/성풍속범죄 | 동구=48 광산=167 강남=391
풍속범죄/도박범죄 | 동구=15 광산=87 강남=126
특별경제범죄/특별경제범죄 | 동구=246 광산=802 강남=2982
마약범죄/마약범죄 | 동구=19 광산=79 강남=817
보건범죄/보건범죄 | 동구=35 광산=59 강남=411
환경범죄/환경범죄 | 동구=0 광산=5 강남=1
교통범죄/교통범죄 | 동구=547 광산=1953 강남=2991
노동범죄/노동범죄 | 동구=0 광산=9 강남=10
안보범죄/안보범죄 | 동구=0 광산=3 강남=6
선거범죄/선거범죄 | 동구=9 광산=10 강남=14
병역범죄/병역범죄 | 동구=21 광산=64 강남=193
기타범죄/기타범죄 | 동구=619 광산=1505 강남=4951
TOTAL {'동구': 4051, '광산': 12679, '강남': 31705}
