agency,sido,sigungu,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
강원특별자치도경찰청,강원특별자치도,강릉시,37.7521080804166,128.875906144832,6252,1217,649,141,1678,1104,99,1364
강원특별자치도경찰청,강원특별자치도,고성군,38.3805924324305,128.467866303854,806,139,83,16,193,180,10,185
강원특별자치도경찰청,강원특별자치도,동해시,37.5247415047848,129.114299292997,1966,427,188,41,482,320,26,482
강원특별자치도경찰청,강원특별자치도,삼척시,37.4498976007987,129.165111673939,1607,299,167,41,480,264,26,330
강원특별자치도경찰청,강원특별자치도,속초시,38.2068943352589,128.591938589225,3246,557,264,65,921,525,194,720
강원특별자치도경찰청,강원특별자치도,양구군,38.1100012808233,127.989950629015,495,100,59,16,111,96,7,106
강원특별자치도경찰청,강원특별자치도,양양군,38.0755111735392,128.619079851708,884,186,76,30,132,250,5,205
강원특별자치도경찰청,강원특별자치도,영월군,37.1836860419283,128.461783934728,985,162,68,25,259,209,19,243
강원특별자치도경찰청,강원특별자치도,원주시,37.3420475880603,127.92009712318,11427,1502,1125,270,3381,2075,159,2915
강원특별자치도경찰청,강원특별자치도,인제군,38.069709741838,128.170351505777,817,92,47,18,296,167,12,185
강원특별자치도경찰청,강원특별자치도,정선군,37.3805844996062,128.660813602082,1271,190,208,28,289,229,29,298
강원특별자치도경찰청,강원특별자치도,철원군,38.146791988083,127.313379851684,1172,153,83,31,457,160,12,276
강원특별자치도경찰청,강원특별자치도,춘천시,37.8812440340088,127.730207024668,8662,1164,817,208,2482,1612,127,2252
강원특별자치도경찰청,강원특별자치도,태백시,37.1640074201872,128.985725257053,1062,159,120,17,282,264,14,206
강원특별자치도경찰청,강원특별자치도,평창군,37.3707820404541,128.39016179013,1184,176,82,24,287,330,15,270
강원특별자치도경찰청,강원특별자치도,홍천군,37.6971673162731,127.888684130433,1911,290,177,47,500,384,16,497
강원특별자치도경찰청,강원특별자치도,화천군,38.1061819512293,127.70815057883,611,101,42,22,175,82,22,167
강원특별자치도경찰청,강원특별자치도,횡성군,37.4917831601354,127.985079956092,1109,139,102,21,279,277,10,281
경기북부경찰청,경기도,가평군,37.8314413100686,127.509570182184,2314,308,139,51,757,342,15,702
경기북부경찰청,경기도,고양시,37.6751982696279,126.750669084916,26595,3797,2645,679,7828,3548,447,7651
경기남부경찰청,경기도,과천시,37.4292291986772,126.987711960677,1677,182,327,25,559,155,30,399
경기남부경찰청,경기도,광명시,37.4785674780314,126.864647815161,7241,1100,872,139,2172,868,73,2017
경기남부경찰청,경기도,광주시,37.4293941934866,127.255138719721,11494,1682,1015,192,3617,2144,93,2751
경기북부경찰청,경기도,구리시,37.5943595777621,127.129646382723,5387,714,572,149,1447,952,48,1505
경기남부경찰청,경기도,군포시,37.3616318289596,126.935205932727,6274,778,876,139,2162,757,49,1513
경기남부경찰청,경기도,김포시,37.6152686898333,126.715657922927,16015,2073,1964,253,5198,2599,239,3689
경기북부경찰청,경기도,남양주시,37.6360272346499,127.21648030719,17045,2284,1566,416,5190,2487,108,4994
경기북부경찰청,경기도,동두천시,37.9035986489851,127.060440729219,3077,569,360,100,862,383,39,764
경기남부경찰청,경기도,부천시,37.5035117792843,126.766038450927,26541,3903,3659,627,7752,3458,373,6769
경기남부경찰청,경기도,성남시,37.4305990144629,127.137231710025,28987,3885,3074,658,8728,4035,211,8396
경기남부경찰청,경기도,수원시,37.2826740965805,127.020135072307,40371,5270,5042,1278,13034,5690,782,9275
경기남부경찰청,경기도,시흥시,37.380115071596,126.802977796436,18852,2626,1726,393,4988,4305,433,4381
경기남부경찰청,경기도,안산시,37.3009718344206,126.846482563885,24971,3772,2722,621,7221,4169,321,6145
경기남부경찰청,경기도,안성시,37.0080705033718,127.27979032841,6324,845,680,108,1786,1317,55,1533
경기남부경찰청,경기도,안양시,37.3867040506795,126.932510436351,12683,1821,1596,388,3720,1889,117,3152
경기북부경찰청,경기도,양주시,37.7853136973154,127.045786084702,7103,1084,660,150,2006,1218,59,1926
경기남부경찰청,경기도,양평군,37.4917882876857,127.487578470072,3797,488,288,67,1401,557,22,974
경기남부경찰청,경기도,여주시,37.2984233734535,127.637058787484,3715,438,298,77,1160,913,55,774
경기북부경찰청,경기도,연천군,38.0965186516052,127.075351220883,1520,279,131,24,401,164,32,489
경기남부경찰청,경기도,오산시,37.1498790159121,127.077526548914,8246,1269,953,181,2302,1360,124,2057
경기남부경찰청,경기도,용인시,37.2343060386837,127.201357139725,25505,3274,3200,563,8036,4013,160,6259
경기남부경찰청,경기도,의왕시,37.3447600461022,126.968273810339,3307,364,237,78,972,907,28,721
경기북부경찰청,경기도,의정부시,37.7380566430617,127.033899090337,13724,2146,1475,383,4277,1699,301,3443
경기남부경찰청,경기도,이천시,37.2722675901776,127.435089282738,6965,968,605,170,2134,1402,55,1631
경기북부경찰청,경기도,파주시,37.7600413844134,126.779876830607,15840,2081,1421,389,5661,2113,224,3951
경기남부경찰청,경기도,평택시,36.992260674533,127.112688386546,26803,3445,2436,519,7638,5652,793,6320
경기북부경찰청,경기도,포천시,37.8949928340087,127.200332890652,4987,724,411,110,1328,915,83,1416
경기남부경찰청,경기도,하남시,37.5392745653538,127.214860598563,9339,1049,876,174,3268,1260,62,2650
경기남부경찰청,경기도,화성시,37.199537203472,126.831477350333,27300,3514,2895,555,7978,5194,257,6907
경상남도경찰청,경상남도,거제시,34.8805390453824,128.621129462965,7795,1188,856,188,2110,1628,54,1771
경상남도경찰청,경상남도,거창군,35.6866846276583,127.90950298922,1275,225,128,17,414,197,7,287
경상남도경찰청,경상남도,고성군,34.9730618412556,128.32236130677,1309,178,126,24,437,284,12,248
경상남도경찰청,경상남도,김해시,35.2285653558628,128.88936269803,15900,2176,2429,300,4125,2838,201,3831
경상남도경찰청,경상남도,남해군,34.8377105516625,127.892653227935,804,119,65,14,273,175,5,153
경상남도경찰청,경상남도,밀양시,35.503817270728,128.74660754822,3207,497,246,64,809,667,48,876
경상남도경찰청,경상남도,사천시,35.0036771766938,128.064212593324,3029,506,267,70,881,552,29,724
경상남도경찰청,경상남도,산청군,35.4155303921184,127.873349988179,637,99,45,9,141,187,6,150
경상남도경찰청,경상남도,양산시,35.3349920568258,129.037272788806,9939,1486,1380,202,2893,1538,119,2321
경상남도경찰청,경상남도,의령군,35.3222352197819,128.261686482096,648,128,40,11,203,89,15,162
경상남도경찰청,경상남도,진주시,35.1802228341544,128.107706335688,11750,1419,3046,201,3446,1391,76,2171
경상남도경찰청,경상남도,창녕군,35.5446153780508,128.492168076007,1707,228,155,22,569,335,19,379
경상남도경찰청,경상남도,창원시,35.133429785687,128.710188416055,28543,4356,3665,606,9077,3871,290,6678
경상남도경찰청,경상남도,통영시,34.8544448244005,128.43314921138,3910,781,424,91,962,747,24,881
경상남도경찰청,경상남도,하동군,35.06730559523,127.751308023408,1039,163,95,21,293,246,9,212
경상남도경찰청,경상남도,함안군,35.2724068411845,128.406423514752,1657,196,89,24,598,357,8,385
경상남도경찰청,경상남도,함양군,35.5205271695153,127.725160459865,890,110,63,14,212,272,7,212
경상남도경찰청,경상남도,합천군,35.5666703386375,128.165790828628,926,152,99,9,228,166,27,245
경상북도경찰청,경상북도,경산시,35.8250815854681,128.741316589036,8534,1124,921,178,3032,1221,61,1997
경상북도경찰청,경상북도,경주시,35.8562184605051,129.22478171309,7352,1012,1054,149,2001,1482,63,1591
경상북도경찰청,경상북도,고령군,35.7260653208408,128.262895757558,740,114,79,17,198,132,14,186
경상북도경찰청,경상북도,구미시,36.1195708487143,128.344246361062,12983,1573,1754,289,4182,2082,173,2930
경상북도경찰청,경상북도,군위군,36.2429130850542,128.572814786608,0,0,0,0,0,0,0,0
경상북도경찰청,경상북도,김천시,36.1398881671651,128.11362447591,3581,510,385,67,968,704,76,871
경상북도경찰청,경상북도,문경시,36.5865273680414,128.186771917242,1680,259,235,30,502,284,18,352
경상북도경찰청,경상북도,봉화군,36.8931350959352,128.732386681867,499,87,59,8,116,117,7,105
경상북도경찰청,경상북도,상주시,36.4109398001854,128.159145076992,2492,346,357,33,753,373,49,581
경상북도경찰청,경상북도,성주군,35.9190934037265,128.282934640557,1300,170,146,27,348,261,27,321
경상북도경찰청,경상북도,안동시,36.5684607632482,128.729587379397,3947,561,401,115,1252,690,125,803
경상북도경찰청,경상북도,영덕군,36.4150618798074,129.365306771359,1053,185,111,17,302,186,8,244
경상북도경찰청,경상북도,영양군,36.6667028574142,129.112510246081,307,68,40,2,88,54,3,52
경상북도경찰청,경상북도,영주시,36.8056192756897,128.62393703546,2236,439,199,44,553,432,31,538
경상북도경찰청,경상북도,영천시,35.9732205043311,128.938550862058,2788,441,282,52,819,577,16,601
경상북도경찰청,경상북도,예천군,36.6576538637802,128.45292491125,1334,177,115,24,445,319,13,241
경상북도경찰청,경상북도,울릉군,37.4844415929913,130.905712808465,174,25,5,5,51,30,1,57
경상북도경찰청,경상북도,울진군,36.9930349161236,129.400547024063,1208,180,111,14,342,238,19,304
경상북도경찰청,경상북도,의성군,36.3527164442425,128.697077816076,1122,143,161,14,326,245,22,211
경상북도경찰청,경상북도,청도군,35.6473848149493,128.734015262482,1214,206,171,19,291,255,24,248
경상북도경찰청,경상북도,청송군,36.4362299589905,129.057070558406,665,136,59,12,128,166,8,156
경상북도경찰청,경상북도,칠곡군,35.9955896857131,128.401662171953,3521,528,275,63,1089,690,50,826
경상북도경찰청,경상북도,포항시,36.0418733741144,129.365733082694,13793,1777,1923,319,3890,2665,149,3070
광주광역시경찰청,광주광역시,광산구,35.1395471867541,126.793633444381,12679,1828,1658,318,4167,1953,166,2589
광주광역시경찰청,광주광역시,남구,35.1329053877212,126.902449336508,5046,702,759,109,1508,903,36,1029
광주광역시경찰청,광주광역시,동구,35.1461666691507,126.923095112877,4051,674,560,103,1169,547,34,964
광주광역시경찰청,광주광역시,북구,35.1741733740384,126.912012078919,12188,1449,1877,266,3961,2094,103,2438
광주광역시경찰청,광주광역시,서구,35.1520722691304,126.890187526298,11343,1654,1246,286,3443,1887,150,2677
대구광역시경찰청,대구광역시,군위군,36.2429130850542,128.572814786608,542,79,93,7,109,143,2,109
대구광역시경찰청,대구광역시,남구,35.8460409913891,128.597678619113,5113,773,682,121,1557,692,57,1231
