agency,sido,sigungu,spot_name,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울특별시,강남구,개포동,37.4819251305595,127.057440206035,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,논현동,37.5126451506882,127.030154778539,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,대치동,37.4932421505467,127.056693501258,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,도곡동,37.4909537197218,127.038482017226,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,삼성동,37.514322572329,127.062831022499,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,세곡동,37.4644437055763,127.106760267266,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,수서동,37.4888878594165,127.105003972121,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,신사동,37.5239850298543,127.02277448907,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,압구정동,37.5306686414269,127.030809170421,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,역삼동,37.4953666908089,127.03306536185,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,율현동,37.4709765124343,127.115817745643,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,일원동,37.4795654903151,127.080430036811,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,자곡동,37.473390398797,127.092180565565,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강남구,청담동,37.5250293348774,127.049233039691,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강동구,강일동,37.564944692054,127.173919661642,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,고덕동,37.5641661222506,127.155939319817,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,길동,37.5344859624471,127.142712345548,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,둔촌동,37.527188288761,127.142354524933,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,명일동,37.5494403330957,127.150304746486,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,상일동,37.5505837474646,127.168300419218,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,성내동,37.5292748071427,127.130026914568,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,암사동,37.5591140475276,127.13168588897,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강동구,천호동,37.542221863425,127.12866892591,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강북구,미아동,37.6270831294022,127.027060776679,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울특별시,강북구,번동,37.6241057350225,127.04133717608,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울특별시,강북구,수유동,37.6424621841483,127.022094520762,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울특별시,강북구,우이동,37.6630390800114,127.001890452891,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울특별시,강서구,가양동,37.5693673262879,126.84732341674,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,개화동,37.5913312008972,126.810864581737,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,공항동,37.5588726032733,126.810109136838,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,과해동,37.5656027325697,126.787712416395,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,내발산동,37.5543737621718,126.83326640676,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,등촌동,37.562237476114,126.843670821456,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,마곡동,37.5747859514344,126.830205192607,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,방화동,37.571309073515,126.811820803059,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,염창동,37.5537362431352,126.870985348962,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,오곡동,37.5515676820463,126.783116898869,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,오쇠동,37.5434597373437,126.797918436909,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,외발산동,37.5438427469629,126.82085631674,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,강서구,화곡동,37.5362848031695,126.848952280488,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,관악구,남현동,37.474566758872,126.977846469625,16539,2185,1967,633,5659,1125,213,4757
서울특별시경찰청,서울특별시,관악구,봉천동,37.482538491727,126.952165181187,16539,2185,1967,633,5659,1125,213,4757
서울특별시경찰청,서울특별시,관악구,신림동,37.4874127684412,126.927123713685,16539,2185,1967,633,5659,1125,213,4757
서울특별시경찰청,서울특별시,광진구,광장동,37.5468565308905,127.103025712709,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울특별시,광진구,구의동,37.5502741239803,127.093135225891,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울특별시,광진구,군자동,37.5551446392215,127.075902795587,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울특별시,광진구,능동,37.5537792609499,127.080536887135,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울특별시,광진구,자양동,37.5311077958689,127.073018338792,9803,1318,1321,406,2866,899,124,2869
