agency,station,unit_name,unit_label,kind,address,sido,sigungu,lat,lon,catchment,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울중부,을지,을지지구대,지구대,서울특별시 중구 퇴계로49길 13,서울특별시,중구,37.5660118254225,126.980508795796,"소공동, 을지로1가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울중부,광희,광희지구대,지구대,서울특별시 중구 퇴계로 375-1,서울특별시,중구,37.5652239855073,127.006451724415,"광희동1가, 광희동2가, 방산동, 쌍림동, 을지로5가, 을지로6가, 을지로7가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울중부,약수,약수지구대,지구대,서울특별시 중구 동호로 5길 15,서울특별시,중구,37.5638077703601,126.997555182293,"묵정동, 예관동, 오장동, 을지로4가, 인현동2가, 주교동, 충무로4가, 충무로5가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울중부,신당,신당파출소,파출소,"서울특별시 중구 다산로 248 (신당동, 신당파출소)",서울특별시,중구,37.5620157313145,127.014442188261,"무학동, 신당동, 황학동, 흥인동",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울중부,장충,장충파출소,파출소,서울특별시 중구 동호로 261,서울특별시,중구,37.560654080316,127.007325089464,"장충동1가, 장충동2가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울중부,충무,충무파출소,파출소,서울특별시 중구 퇴계로 178,서울특별시,중구,37.5614350253016,126.982162451405,"남대문로3가, 남산동1가, 남산동2가, 북창동, 충무로1가, 회현동2가, 회현동3가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울중부,을지로3가,을지로3가파출소,파출소,서울특별시 중구 충무로56-1,서울특별시,중구,37.5664564985185,126.992696980394,"남학동, 산림동, 수표동, 을지로3가, 인현동1가, 입정동, 저동2가, 초동",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울종로,종로2가,종로2가지구대,지구대,서울특별시 종로구 종로17길 4,서울특별시,종로구,37.570889038138,126.988250180457,"경운동, 관철동, 관훈동, 권농동, 낙원동, 돈의동, 묘동, 운니동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,관수,관수파출소,파출소,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),서울특별시,종로구,37.5690620186847,126.99046001346,"관수동, 봉익동, 장사동, 종로3가",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,세검정,세검정파출소,파출소,서울특별시 종로구 세검정로 226,서울특별시,종로구,37.5735042429813,126.978989954189,"사간동, 송현동, 수송동, 안국동, 재동, 중학동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,평창,평창파출소,파출소,서울특별시 종로구 평창문화로 46,서울특별시,종로구,37.6063916960376,126.968357810931,"구기동, 신영동, 평창동, 홍지동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,삼청,삼청파출소,파출소,서울특별시 종로구 삼청로 75-2 (팔판동),서울특별시,종로구,37.584997782564,126.981758302922,"가회동, 계동, 삼청동, 소격동, 와룡동, 원서동, 팔판동, 화동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,통의,통의파출소,파출소,서울특별시 종로구 효자로 9,서울특별시,종로구,37.5780584194585,126.972852824323,"세종로, 적선동, 창성동, 체부동, 통의동, 통인동, 효자동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,청운,청운파출소,파출소,서울특별시 종로구 자하문로 92-1,서울특별시,종로구,37.5891974378629,126.969329763593,"궁정동, 부암동, 청운동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,옥인,옥인파출소,파출소,서울특별시 종로구 자하문로17길 24,서울특별시,종로구,37.5835230926996,126.963385995622,"누상동, 신교동, 옥인동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,교남,교남파출소,파출소,서울특별시 종로구 송월길 152,서울특별시,종로구,37.5683831622413,126.964634002163,"교남동, 교북동, 송월동, 평동, 행촌동, 홍파동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,세종로,세종로파출소,파출소,서울특별시 중구 세종대로 141,서울특별시,중구,37.5638077703601,126.997555182293,,9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울종로,신문로,신문로파출소,파출소,서울특별시 종로구 경희궁길 6-3,서울특별시,종로구,37.5701731498046,126.973901614207,"내수동, 당주동, 도렴동, 신문로1가, 신문로2가",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,사직,사직파출소,파출소,서울특별시 종로구 사직로9가길 6 1층,서울특별시,종로구,37.5761869658796,126.968846056089,"내자동, 누하동, 무악동, 사직동, 필운동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울종로,청진,청진파출소,파출소,서울특별시 종로구 우정국로 45-3 1층(임시파출소),서울특별시,종로구,37.5714393638425,126.98015420508,"견지동, 공평동, 서린동, 종로1가, 청진동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울남대문,태평로,태평로파출소,파출소,서울특별시 중구 다동길 11,서울특별시,중구,37.5677087157565,126.977234843742,"무교동, 정동, 태평로1가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,서울역,서울역파출소,파출소,서울특별시 중구 통일로 15,서울특별시,중구,37.5638077703601,126.997555182293,,9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,명동,명동파출소,파출소,서울특별시 중구 명동길 30 명동파출소,서울특별시,중구,37.5642861263306,126.984638297227,"남대문로2가, 남산동3가, 명동1가, 명동2가, 을지로2가, 저동1가, 주자동, 충무로2가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,남대문,남대문파출소,파출소,서울특별시 중구 남대문시장4길 28-16,서울특별시,중구,37.5678610341137,126.982862710392,"남대문로1가, 다동, 삼각동, 수하동, 장교동",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,중림,중림파출소,파출소,서울특별시 중구 중림로 36,서울특별시,중구,37.5591682266788,126.966186646494,"만리동1가, 만리동2가, 봉래동2가, 의주로2가, 중림동",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,회현,회현파출소,파출소,서울특별시 중구 퇴계로6길 3-15,서울특별시,중구,37.5555892070291,126.981204133005,"남창동, 예장동, 회현동1가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,서소문,서소문파출소,파출소,서울특별시 중구 서소문로 131-1 서소문파출소,서울특별시,중구,37.5631129454112,126.97389954989,"남대문로4가, 남대문로5가, 봉래동1가, 서소문동, 순화동, 의주로1가, 충정로1가, 태평로2가",9919,1396,1410,279,2628,717,72,3417
