연번,시도청,경찰서,관서명,구분,주소
1,서울청,서울중부,을지,지구대,서울특별시 중구 퇴계로49길 13
2,서울청,서울중부,광희,지구대,서울특별시 중구  퇴계로 375-1
3,서울청,서울중부,약수,지구대,서울특별시 중구  동호로 5길 15
4,서울청,서울중부,신당,파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)"
5,서울청,서울중부,장충,파출소,서울특별시 중구  동호로 261
6,서울청,서울중부,충무,파출소,서울특별시 중구  퇴계로 178
7,서울청,서울중부,을지로3가,파출소,서울특별시 중구 충무로56-1
8,서울청,서울종로,종로2가,지구대,서울특별시 종로구  종로17길 4 
9,서울청,서울종로,관수,파출소,서울특별시 종로구 삼일대로15길 19 1층(임시파출소)
10,서울청,서울종로,세검정,파출소,서울특별시 종로구  세검정로 226 
11,서울청,서울종로,평창,파출소,서울특별시 종로구  평창문화로 46
12,서울청,서울종로,삼청,파출소,서울특별시 종로구 삼청로 75-2 (팔판동)
13,서울청,서울종로,통의,파출소,서울특별시 종로구  효자로 9
14,서울청,서울종로,청운,파출소,서울특별시 종로구  자하문로 92-1
15,서울청,서울종로,옥인,파출소,서울특별시 종로구  자하문로17길 24
16,서울청,서울종로,교남,파출소,서울특별시 종로구  송월길 152
17,서울청,서울종로,세종로,파출소,서울특별시 중구  세종대로 141
18,서울청,서울종로,신문로,파출소,서울특별시 종로구  경희궁길 6-3
19,서울청,서울종로,사직,파출소,서울특별시 종로구  사직로9가길 6 1층
20,서울청,서울종로,청진,파출소,서울특별시 종로구 우정국로 45-3 1층(임시파출소)
21,서울청,서울남대문,태평로,파출소,서울특별시 중구  다동길 11
22,서울청,서울남대문,서울역,파출소,서울특별시 중구  통일로 15
23,서울청,서울남대문,명동,파출소,서울특별시 중구  명동길 30 명동파출소
24,서울청,서울남대문,남대문,파출소,서울특별시 중구  남대문시장4길 28-16
25,서울청,서울남대문,중림,파출소,서울특별시 중구  중림로 36
26,서울청,서울남대문,회현,파출소,서울특별시 중구  퇴계로6길 3-15
27,서울청,서울남대문,서소문,파출소,서울특별시 중구  서소문로 131-1 서소문파출소
28,서울청,서울서대문,충정로,지구대,서울특별시 서대문구  독립문로 25-1
29,서울청,서울서대문,신촌,지구대,서울특별시 서대문구  신촌역로 22
30,서울청,서울서대문,홍은,파출소,서울특별시 서대문구 세검정로1길 112
31,서울청,서울서대문,연희,파출소,서울특별시 서대문구  연희로25길 73
32,서울청,서울서대문,남가좌,파출소,서울특별시 서대문구  가재울로4길 51
33,서울청,서울서대문,북가좌,파출소,서울특별시 서대문구  응암로1길 13
34,서울청,서울서대문,홍제,파출소,서울특별시 서대문구  통일로 441-1
35,서울청,서울서대문,홍은2,파출소,서울특별시 서대문구  연희로 298
36,서울청,서울혜화,혜화,파출소,서울특별시 종로구  창경궁로 279 
37,서울청,서울혜화,대학로,파출소,서울특별시 종로구  이화장2길 33
38,서울청,서울혜화,명륜,파출소,서울특별시 종로구  성균관로 78
39,서울청,서울혜화,창신,파출소,서울특별시 종로구  지봉로13길 20-12
40,서울청,서울혜화,동묘,파출소,서울특별시 종로구  종로58가길 19 동묘파출소
41,서울청,서울혜화,덕산,파출소,서울시 종로구 낙산성곽동길 20-1
42,서울청,서울혜화,종로5가,파출소,서울특별시 종로구  동호로 407
43,서울청,서울혜화,효제,파출소,서울특별시 종로구  종로41나길 24-6
44,서울청,서울용산,원효,지구대,서울특별시 용산구  백범로 329
45,서울청,서울용산,용중,지구대,"서울특별시 용산구  후암로16나길 17, 용중지구대"
46,서울청,서울용산,이태원,파출소,서울특별시 용산구  이태원로 184
47,서울청,서울용산,한남,파출소,"서울특별시 용산구  대사관로34길 53, 한남파출소"
48,서울청,서울용산,보광,파출소,"서울특별시 용산구  보광로 25-1, 보광파출소"
49,서울청,서울용산,삼각지,파출소,서울특별시 용산구  한강대로198-2
50,서울청,서울용산,한강로,지구대,서울특별시 용산구  서빙고로67
51,서울청,서울성북,돈암,지구대,서울특별시 성북구  아리랑로5길 54
52,서울청,서울성북,안암,지구대,서울특별시 성북구  지봉로21길 45
53,서울청,서울성북,길음,지구대,서울특별시 성북구  삼양로13길 51 길음지구대
54,서울청,서울성북,정릉,파출소,서울특별시 성북구  솔샘로 111
55,서울청,서울성북,정릉2,파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소
56,서울청,서울성북,성북,파출소,서울특별시 성북구  성북로 94  성북파출소
57,서울청,서울동대문,답십리,지구대,서울시 동대문구 사가정로 2길 9
58,서울청,서울동대문,용신,지구대,서울특별시 동대문구  청계천로549
59,서울청,서울동대문,청량리,파출소,서울특별시 동대문구 약령시로21가길 15
60,서울청,서울동대문,제기,파출소,서울특별시 동대문구 약령시로 17길 59-11
61,서울청,서울동대문,전농1,파출소,서울특별시 동대문구 서울시립대로 56
62,서울청,서울동대문,전농2,파출소,서울특별시 동대문구 전농로38다길 21
63,서울청,서울동대문,장안1,파출소,서울특별시 동대문구 한천로20길 9
64,서울청,서울동대문,장안2,파출소,서울특별시 동대문구  답십리로 69길 100
65,서울청,서울동대문,이문,지구대,서울특별시 동대문구  한천로 402
66,서울청,서울동대문,휘경,파출소,서울특별시 동대문구  한천로 266
67,서울청,서울동대문,회기,파출소,서울특별시 동대문구  회기로18길 2
68,서울청,서울마포,서강,지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)"
69,서울청,서울마포,공덕,지구대,서울특별시 마포구 마포대로 195-1
70,서울청,서울마포,월드컵,지구대,서울특별시 마포구  월드컵북로 30길 24
71,서울청,서울마포,홍익,지구대,서울특별시 마포구  양화로11길 63
72,서울청,서울마포,용강,지구대,서울특별시 마포구 토정로31길 35
73,서울청,서울마포,상암,파출소,서울특별시 마포구  매봉산로 76
74,서울청,서울마포,망원,파출소,서울특별시 마포구  망원로2길 63
75,서울청,서울마포,연남,파출소,서울특별시 마포구  연남로 4
76,서울청,서울영등포,중앙,지구대,서울특별시 영등포구  영등포로46길 14
77,서울청,서울영등포,여의도,지구대,서울특별시 영등포구  여의공원로 120 여의도지구대
78,서울청,서울영등포,문래,지구대,서울특별시 영등포구  경인로 759
79,서울청,서울영등포,신풍,지구대,서울특별시 영등포구 대방천로 195(신길동 3741-23)
80,서울청,서울영등포,신길,지구대,서울특별시 영등포구 노량진로 11
81,서울청,서울영등포,양평,파출소,서울특별시 영등포구  선유로 95
82,서울청,서울영등포,당산,지구대,서울특별시 영등포구  당산로 221
83,서울청,서울영등포,대림,지구대,서울특별시 영등포구  대림로23길 16-1
84,서울청,서울영등포,대림3,파출소,서울특별시 영등포구 가마산로 334
85,서울청,서울영등포,영등포역,파출소,서울특별시 영등포구 영신로20길 11
86,서울청,서울성동,한양,지구대,서울특별시 성동구  사근동길 5
87,서울청,서울성동,성수,지구대,서울특별시 성동구  광나루로2길 35 성수지구대
88,서울청,서울성동,서울숲,지구대,서울특별시 성동구  성덕정길 77-2
89,서울청,서울성동,왕십리,파출소,서울특별시 성동구  마장로 205
90,서울청,서울성동,행당,파출소,서울특별시 성동구  행당로 89
91,서울청,서울성동,옥수,파출소,서울특별시 성동구  독서당로 211
92,서울청,서울성동,금호,파출소,서울특별시 성동구  금호로11길 2-1
93,서울청,서울성동,응봉,파출소,서울특별시 성동구  독서당로 373 응봉파출소
94,서울청,서울성동,용답,파출소,서울특별시 성동구  용답중앙길 49 용답파출소
95,서울청,서울동작,사당,지구대,서울특별시 동작구 사당로28길 44
96,서울청,서울동작,노량진,지구대,서울특별시 동작구  등용로12나길 2
97,서울청,서울동작,상도,지구대,서울특별시 동작구  등용로 24 
98,서울청,서울동작,남성,지구대,서울특별시 동작구 사당로17나길 4
99,서울청,서울동작,흑석,지구대,서울특별시 동작구 흑석로13길 13
100,서울청,서울동작,신대방,지구대,서울특별시 동작구 신대방1다길 24
101,서울청,서울동작,대방,파출소,서울특별시 동작구 여의대방로 130
102,서울청,서울광진,광나루,지구대,서울특별시 광진구 아차산로 567
103,서울청,서울광진,화양,지구대,서울특별시 광진구  능동로17길 39 화양지구대
104,서울청,서울광진,중곡1,파출소,서울특별시 광진구 능동로 385
105,서울청,서울광진,중곡2,파출소,서울특별시 광진구  능동로 346
106,서울청,서울광진,중곡3,파출소,서울특별시 광진구 동일로76가길 28
107,서울청,서울광진,중곡4,파출소,서울특별시 광진구  용마산로24길 7
108,서울청,서울광진,자양,파출소,서울특별시 광진구 뚝섬로36길 9
109,서울청,서울광진,자양1,파출소,서울특별시 광진구  자양번영로 80
110,서울청,서울광진,자양4,파출소,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소
111,서울청,서울광진,구의,파출소,서울특별시 광진구 광나루로 43길 26 구의파출소
112,서울청,서울서부,응암,지구대,서울특별시 은평구  은평로 171
113,서울청,서울서부,신사,지구대,서울특별시 은평구  은평터널로5길 6호
114,서울청,서울서부,녹번,파출소,서울특별시 은평구  진흥로 진흥로200
115,서울청,서울서부,응암3,파출소,서울특별시 은평구  응암로 208 
116,서울청,서울서부,역촌,파출소,서울특별시 은평구  연서로 61
117,서울청,서울강북,미아,지구대,서울특별시 강북구 도봉로 127
118,서울청,서울강북,솔샘,지구대,서울특별시 강북구 오현로 4
119,서울청,서울강북,수유1,파출소,서울특별시 강북구  삼양로 305
120,서울청,서울강북,수유2,파출소,서울특별시 강북구 삼각산로 115
121,서울청,서울강북,수유3,파출소,서울특별시 강북구  한천로150길 76
122,서울청,서울강북,인수,파출소,서울특별시 강북구 인수봉로 227
123,서울청,서울강북,번동,파출소,서울특별시 강북구  한천로 969
124,서울청,서울강북,번3,파출소,서울특별시 강북구  월계로 227
125,서울청,서울강북,삼양,파출소,서울특별시 강북구  삼양로 239-1
126,서울청,서울금천,금천,파출소,서울특별시 금천구 시흥대로57길 45
127,서울청,서울금천,문성,지구대,서울특별시 금천구  독산로 76길 20
128,서울청,서울금천,백산,지구대,서울특별시 금천구  탑골로2길 37 백산지구대
129,서울청,서울금천,가산,파출소,서울특별시 금천구  벚꽃로56길 174
130,서울청,서울금천,독산,파출소,서울특별시 금천구  벚꽃로10길 89
131,서울청,서울중랑,망우,지구대,서울특별시 중랑구  망우로 391
132,서울청,서울중랑,중화,지구대,서울특별시 중랑구  중랑천로 146
133,서울청,서울중랑,용마,지구대,서울특별시 중랑구 동일로 566
134,서울청,서울중랑,봉화,지구대,서울특별시 중랑구  신내로 177
135,서울청,서울중랑,면목본동,파출소,서울특별시 중랑구  상봉로 27
136,서울청,서울중랑,면목삼팔,파출소,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소)
137,서울청,서울중랑,상봉,파출소,서울특별시 중랑구  중랑천로 69 상봉파출소
138,서울청,서울중랑,먹골,파출소,서울특별시 중랑구 숙선옹주로7길 1
139,서울청,서울강남,역삼,지구대,서울특별시 강남구 언주로108길 20
140,서울청,서울강남,논현1,파출소,서울특별시 강남구 학동로 169
141,서울청,서울강남,논현2,파출소,서울특별시 강남구 학동로 227
142,서울청,서울강남,삼성1,파출소,서울특별시 강남구 영동대로112길 4
143,서울청,서울강남,삼성2,파출소,서울특별시 강남구 선릉로 626
144,서울청,서울강남,청담,파출소,서울특별시 강남구 학동로95길 19
145,서울청,서울강남,신사,파출소,서울특별시 강남구 도산대로 143
146,서울청,서울강남,압구정,파출소,서울특별시 강남구 압구정로 311
147,서울청,서울관악,당곡,지구대,서울특별시 관악구  남부순환로191길 12 당곡지구대
148,서울청,서울관악,낙성대,지구대,"서울특별시 관악구  봉천로 540, 낙성대지구대"
149,서울청,서울관악,신림,지구대,서울특별시 관악구  남부순환로188길 12 신림지구대
150,서울청,서울관악,관악산,지구대,서울특별시 관악구  신림로 178 관악산지구대
151,서울청,서울관악,구암,지구대,서울특별시 관악구 은천로 93
152,서울청,서울관악,남현,파출소,서울특별시 관악구  남현1가길 29 남현파출소
153,서울청,서울관악,난우,파출소,서울특별시 관악구  난곡로64 난우파출소
154,서울청,서울관악,미성,파출소,서울특별시 관악구  난곡로64가길 31
155,서울청,서울관악,신사,지구대,서울특별시 관악구  신사로 106
156,서울청,서울강서,화곡,지구대,서울특별시 강서구  화곡로 308
157,서울청,서울강서,공항,지구대,서울특별시 강서구  방화동로 5 
158,서울청,서울강서,까치산,지구대,서울특별시 강서구  강서로7길 39
159,서울청,서울강서,가양,지구대,서울특별시 강서구 화곡로65길 63
160,서울청,서울강서,곰달래,지구대,서울특별시 강서구 곰달래로59길 12
161,서울청,서울강서,방화3,파출소,서울특별시 강서구  금낭화로26길 16
162,서울청,서울강서,염창,지구대,서울특별시 강서구 양천로67길 101
163,서울청,서울강서,등촌2,파출소,서울특별시 강서구  등촌로 167 
164,서울청,서울강서,발산,지구대,서울특별시 강서구  수명로2길 46 
165,서울청,서울강서,화곡3,파출소,서울특별시 강서구  강서로45다길 71
166,서울청,서울강서,마곡,지구대,서울특별시 강서구 마곡중앙5로 32
167,서울청,서울강동,천호,지구대,"서울특별시 강동구  구천면로 141, 천호지구대"
168,서울청,서울강동,길동,지구대,서울특별시 강동구 양재대로96길 35
169,서울청,서울강동,성내,지구대,서울특별시 강동구 성내로 55 (성내동)
170,서울청,서울강동,암사,지구대,서울특별시 강동구  고덕로 137 암사지구대
171,서울청,서울강동,둔촌,파출소,서울특별시 강동구 양재대로 1340 (둔촌동)
172,서울청,서울강동,명일,파출소,서울특별시 강동구 동남로 895 명일파출소
173,서울청,서울강동,강일,파출소,서울특별시 강동구  아리수로91길 20
174,서울청,서울강동,고덕,파출소,서울특별시 강동구  고덕로 61길61
175,서울청,서울강동,상일,파출소,서울특별시 강동구 고덕로 80길 7
176,서울청,서울종암,석관,파출소,서울특별시 성북구  화랑로32가길 20 석관파출소
177,서울청,서울종암,장위,지구대,서울특별시 성북구 장월로174 장위지구대
178,서울청,서울종암,월곡,지구대,서울특별시 성북구  종암로32길 5 월곡지구대
179,서울청,서울종암,종암,파출소,서울특별시 성북구  종암로23길 52
180,서울청,서울구로,신구로,지구대,서울특별시 구로구 새말로 26 신구로지구대
181,서울청,서울구로,오류,지구대,서울특별시 구로구  고척로1길 34 오류지구대
182,서울청,서울구로,구일,지구대,서울특별시 구로구  도림로 63 구일지구대
183,서울청,서울구로,고척,지구대,서울특별시 구로구 중앙로 15길 30 고척지구대
184,서울청,서울구로,개봉,지구대,서울특별시 구로구  개봉로18길 5 개봉지구대
185,서울청,서울구로,구로3,파출소,서울특별시 구로구  디지털로31길 86 구로3파출소
186,서울청,서울구로,가리봉,파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소
187,서울청,서울구로,천왕,파출소,서울특별시 구로구 오리로 1102-8
